sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"ZNF107","Approved symbol","ZNF107","zinc finger protein 107","HGNC:12887","7q11.21"
"PARD6B","Approved symbol","PARD6B","par-6 family cell polarity regulator beta","HGNC:16245","20q13.13"
"SNORA52","Approved symbol","SNORA52","small nucleolar RNA, H/ACA box 52","HGNC:32645","11p15.5"
"CTNNA3","Approved symbol","CTNNA3","catenin alpha 3","HGNC:2511","10q21.3"
"SNORA67","Approved symbol","SNORA67","small nucleolar RNA, H/ACA box 67","HGNC:10224","17p13.1"
"ZNF493","Approved symbol","ZNF493","zinc finger protein 493","HGNC:23708","19p12"
"SNORA27","Approved symbol","SNORA27","small nucleolar RNA, H/ACA box 27","HGNC:32617","13q12.2"
"C2orf86","Previous symbol","WDPCP","WD repeat containing planar cell polarity effector","HGNC:28027","2p15"
"SLITRK6","Approved symbol","SLITRK6","SLIT and NTRK like family member 6","HGNC:23503","13q31.1"
"KLHL11","Approved symbol","KLHL11","kelch like family member 11","HGNC:19008","17q21.2"
"NBEAL1","Approved symbol","NBEAL1","neurobeachin like 1","HGNC:20681","2q33.2"
"TMEM75","Previous symbol","LINC02912","long intergenic non-protein coding RNA 2912","HGNC:32295","8q24.21"
"RANBP17","Approved symbol","RANBP17","RAN binding protein 17","HGNC:14428","5q35.1"
"AK131472","Unmatched","","","",""
"AK311345","Unmatched","","","",""
"LNPEP","Approved symbol","LNPEP","leucyl and cystinyl aminopeptidase","HGNC:6656","5q15"
"ZNF543","Approved symbol","ZNF543","zinc finger protein 543","HGNC:25281","19q13.43"
"BC044606","Unmatched","","","",""
"ZNF569","Approved symbol","ZNF569","zinc finger protein 569","HGNC:24737","19q13.12"
"GPR21","Approved symbol","GPR21","G protein-coupled receptor 21","HGNC:4476","9q33.2"
"SNORA6","Approved symbol","SNORA6","small nucleolar RNA, H/ACA box 6","HGNC:32591","3p22.2"
"JAK3","Approved symbol","JAK3","Janus kinase 3","HGNC:6193","19p13.11"
"DQ582201","Unmatched","","","",""
"SNORD74","Approved symbol","SNORD74","small nucleolar RNA, C/D box 74","HGNC:32734","1q25.1"
"COL10A1","Approved symbol","COL10A1","collagen type X alpha 1 chain","HGNC:2185","6q22.1"
"SNORA21","Approved symbol","SNORA21","small nucleolar RNA, H/ACA box 21","HGNC:32611","17q12"
"SNORA8","Approved symbol","SNORA8","small nucleolar RNA, H/ACA box 8","HGNC:32596","11q21"
"SNORD46","Approved symbol","SNORD46","small nucleolar RNA, C/D box 46","HGNC:10186","1p34.1"
"ALG10","Approved symbol","ALG10","ALG10 alpha-1,2-glucosyltransferase","HGNC:23162","12p11.1"
"SNORD55","Approved symbol","SNORD55","small nucleolar RNA, C/D box 55","HGNC:10205","1p34.1"
"SYT14","Approved symbol","SYT14","synaptotagmin 14","HGNC:23143","1q32.2"
"SCARNA16","Approved symbol","SCARNA16","small Cajal body-specific RNA 16","HGNC:32573","17q25.2"
"SNORD116-16","Approved symbol","SNORD116-16","small nucleolar RNA, C/D box 116-16","HGNC:33082","15q11.2"
"SNORD60","Approved symbol","SNORD60","small nucleolar RNA, C/D box 60","HGNC:10217","16p13.3"
"FBXL4","Approved symbol","FBXL4","F-box and leucine rich repeat protein 4","HGNC:13601","6q16.1-q16.2"
"RNF138P1","Approved symbol","RNF138P1","ring finger protein 138 pseudogene 1","HGNC:30342","5q11.2"
"hCG_2018772","Unmatched","","","",""
"SNORA84","Approved symbol","SNORA84","small nucleolar RNA, H/ACA box 84","HGNC:33615","9q22.31"
"MAB21L2","Approved symbol","MAB21L2","mab-21 like 2","HGNC:6758","4q31.3"
"FLJ13224","Unmatched","","","",""
"SYT16","Approved symbol","SYT16","synaptotagmin 16","HGNC:23142","14q23.2"
"C12orf61","Previous symbol","LINC01465","long intergenic non-protein coding RNA 1465","HGNC:26364","12q14.1"
"SNORD8","Approved symbol","SNORD8","small nucleolar RNA, C/D box 8","HGNC:20159","14q11.2"
"SNORA34","Previous symbol","SNORA2C","small nucleolar RNA, H/ACA box 2C","HGNC:32624","12q13.11"
"ZNF66","Approved symbol","ZNF66","zinc finger protein 66","HGNC:13135","19p12"
"SNORD15A","Approved symbol","SNORD15A","small nucleolar RNA, C/D box 15A","HGNC:10114","11q13.4"
"ZNF138","Approved symbol","ZNF138","zinc finger protein 138","HGNC:12922","7q11.21"
"ZC3HAV1L","Approved symbol","ZC3HAV1L","zinc finger CCCH-type containing, antiviral 1 like","HGNC:22423","7q34"
"ZNF681","Approved symbol","ZNF681","zinc finger protein 681","HGNC:26457","19p12"
"SNORD94","Approved symbol","SNORD94","small nucleolar RNA, C/D box 94","HGNC:32756","2p11.2"
"APLF","Approved symbol","APLF","aprataxin and PNKP like factor","HGNC:28724","2p13.3"
"SNORD116-1","Approved symbol","SNORD116-1","small nucleolar RNA, C/D box 116-1","HGNC:33067","15q11.2"
"PRELID2","Approved symbol","PRELID2","PRELI domain containing 2","HGNC:28306","5q32"
"DKFZp547E087","Unmatched","","","",""
"VTRNA1-1","Approved symbol","VTRNA1-1","vault RNA 1-1","HGNC:12654","5q31.3"
"TCP11L2","Approved symbol","TCP11L2","t-complex 11 like 2","HGNC:28627","12q23.3"
"SNORA31","Approved symbol","SNORA31","small nucleolar RNA, H/ACA box 31","HGNC:32621","13q14.13"
"C6orf170","Previous symbol","TBC1D32","TBC1 domain family member 32","HGNC:21485","6q22.31"
"AK098783","Unmatched","","","",""
"SCARNA17","Approved symbol","SCARNA17","small Cajal body-specific RNA 17","HGNC:32574","18q21.1"
"SNORD116-24","Approved symbol","SNORD116-24","small nucleolar RNA, C/D box 116-24","HGNC:33090","15q11.2"
"SNORA26","Approved symbol","SNORA26","small nucleolar RNA, H/ACA box 26","HGNC:32616","4q12"
"RAB26","Approved symbol","RAB26","RAB26, member RAS oncogene family","HGNC:14259","16p13.3"
"KCNH8","Approved symbol","KCNH8","potassium voltage-gated channel subfamily H member 8","HGNC:18864","3p24.3"
"SNORA18","Approved symbol","SNORA18","small nucleolar RNA, H/ACA box 18","HGNC:32608","11q21"
"SNORA62","Approved symbol","SNORA62","small nucleolar RNA, H/ACA box 62","HGNC:10107","3p22.1"
"SNORD116-23","Approved symbol","SNORD116-23","small nucleolar RNA, C/D box 116-23","HGNC:33089","15q11.2"
"C6orf204","Previous symbol","CEP85L","centrosomal protein 85 like","HGNC:21638","6q22.31"
"BC069756","Unmatched","","","",""
"SNORA14B","Approved symbol","SNORA14B","small nucleolar RNA, H/ACA box 14B","HGNC:32603","1q42.3"
"AX748195","Unmatched","","","",""
"SNORA46","Approved symbol","SNORA46","small nucleolar RNA, H/ACA box 46","HGNC:32639","16q21"
"FSIP2","Approved symbol","FSIP2","fibrous sheath interacting protein 2","HGNC:21675","2q32.1"
"SNORD116-5","Approved symbol","SNORD116-5","small nucleolar RNA, C/D box 116-5","HGNC:33071","15q11.2"
"AX747224","Unmatched","","","",""
"BC079832","Unmatched","","","",""
"DQ597482","Unmatched","","","",""
"NRXN3","Approved symbol","NRXN3","neurexin 3","HGNC:8010","14q24.3-q31.1"
"ZNF578","Approved symbol","ZNF578","zinc finger protein 578","HGNC:26449","19q13.41"
"AK096995","Unmatched","","","",""
"SNORD12C","Approved symbol","SNORD12C","small nucleolar RNA, C/D box 12C","HGNC:10105","20q13.13"
"HTR2B","Approved symbol","HTR2B","5-hydroxytryptamine receptor 2B","HGNC:5294","2q37.1"
"SNORA71D","Approved symbol","SNORA71D","small nucleolar RNA, H/ACA box 71D","HGNC:32657","20q11.23"
"THAP5","Approved symbol","THAP5","THAP domain containing 5","HGNC:23188","7q31.1"
"KIAA1715","Previous symbol","LNPK","lunapark, ER junction formation factor","HGNC:21610","2q31.1"
"ARRDC3","Approved symbol","ARRDC3","arrestin domain containing 3","HGNC:29263","5q14.3"
"AX746867","Unmatched","","","",""
"MGC16275","Unmatched","","","",""
"HIST1H4J","Previous symbol","H4C11","H4 clustered histone 11","HGNC:4785","6p22.1"
"CR624170","Unmatched","","","",""
"SNORA54","Approved symbol","SNORA54","small nucleolar RNA, H/ACA box 54","HGNC:32647","11p15.4"
"C21orf123","Previous symbol","COL18A1-AS1","COL18A1 antisense RNA 1","HGNC:23132","21q22.3"
"SNORA3","Previous symbol","SNORA3A","small nucleolar RNA, H/ACA box 3A","HGNC:32586","11p15.4"
"SLC16A7","Approved symbol","SLC16A7","solute carrier family 16 member 7","HGNC:10928","12q14.1"
"LOC100129716","Unmatched","","","",""
"ZNF800","Approved symbol","ZNF800","zinc finger protein 800","HGNC:27267","7q31.33"
"AK123487","Unmatched","","","",""
"SNORD116-2","Approved symbol","SNORD116-2","small nucleolar RNA, C/D box 116-2","HGNC:33068","15q11.2"
"C19orf23","Previous symbol","CIRBP-AS1","CIRBP antisense RNA 1","HGNC:28588","19p13.3"
"BHLHE40","Approved symbol","BHLHE40","basic helix-loop-helix family member e40","HGNC:1046","3p26.1"
"WDR38","Approved symbol","WDR38","WD repeat domain 38","HGNC:23745","9q33.3"
"C4orf38","Previous symbol","WWC2-AS2","WWC2 antisense RNA 2","HGNC:26390","4q35.1"
"UBE2QP1","Previous symbol","UBE2Q2P1","ubiquitin conjugating enzyme E2 Q2 pseudogene 1","HGNC:37439","15q25.2"
"BC033996","Unmatched","","","",""
"CXorf42","Previous symbol","NKAPP1","NFKB activating protein pseudogene 1","HGNC:26706","Xq24"
"SNORA37","Approved symbol","SNORA37","small nucleolar RNA, H/ACA box 37","HGNC:32630","18q21.2"
"SNORA71B","Approved symbol","SNORA71B","small nucleolar RNA, H/ACA box 71B","HGNC:10233","20q11.23"
"FAM83B","Approved symbol","FAM83B","family with sequence similarity 83 member B","HGNC:21357","6p12.1"
"NAG8","Alias symbol","SND1-IT1","SND1 intronic transcript 1","HGNC:24158","7q32.1"
"BC043227","Unmatched","","","",""
"SNORA20","Approved symbol","SNORA20","small nucleolar RNA, H/ACA box 20","HGNC:32610","6q25.3"
"SCARNA18","Approved symbol","SCARNA18","small Cajal body-specific RNA 18","HGNC:32559","5q14.2"
"hCG_1818547","Unmatched","","","",""
"SNORD32A","Approved symbol","SNORD32A","small nucleolar RNA, C/D box 32A","HGNC:10159","19q13.33"
"SNORA74B","Approved symbol","SNORA74B","small nucleolar RNA, H/ACA box 74B","HGNC:32660","5q35.1"
"SNORD116-29","Approved symbol","SNORD116-29","small nucleolar RNA, C/D box 116-29","HGNC:33348","15q11.2"
"SNORD2","Approved symbol","SNORD2","small nucleolar RNA, C/D box 2","HGNC:32678","3q27.3"
"SCARNA4","Approved symbol","SCARNA4","small Cajal body-specific RNA 4","HGNC:32560","1q22"
"BC148262","Unmatched","","","",""
"BC025734","Unmatched","","","",""
"LOC144571","Unmatched","","","",""
"TAS2R19","Approved symbol","TAS2R19","taste 2 receptor member 19","HGNC:19108","12p13.2"
"BC034817","Unmatched","","","",""
"SNORA32","Approved symbol","SNORA32","small nucleolar RNA, H/ACA box 32","HGNC:32622","11q21"
"AK096592","Unmatched","","","",""
"SNORD116-25","Approved symbol","SNORD116-25","small nucleolar RNA, C/D box 116-25","HGNC:33091","15q11.2"
"SNORA76","Previous symbol","SNORA50C","small nucleolar RNA, H/ACA box 50C","HGNC:32662","17q23.3"
"SNORA40","Approved symbol","SNORA40","small nucleolar RNA, H/ACA box 40","HGNC:32633","11q21"
"Tmp21-II","Alias symbol","TMED10P1","transmembrane p24 trafficking protein 10 pseudogene 1","HGNC:30754","8q24.3"
"LOC729799","Unmatched","","","",""
"DQ582265","Unmatched","","","",""
"AURKAPS1","Previous symbol","AURKAP1","aurora kinase A pseudogene 1","HGNC:18611","1q41"
"XDH","Approved symbol","XDH","xanthine dehydrogenase","HGNC:12805","2p23.1"
"CR605438","Unmatched","","","",""
"BC036695","Unmatched","","","",""
"AK097143","Unmatched","","","",""
"SNORA71C","Approved symbol","SNORA71C","small nucleolar RNA, H/ACA box 71C","HGNC:32656","20q11.23"
"AK225487","Unmatched","","","",""
"SNORA12","Approved symbol","SNORA12","small nucleolar RNA, H/ACA box 12","HGNC:32600","10q24.31"
"BC047609","Unmatched","","","",""
"BTBD8","Approved symbol","BTBD8","BTB domain containing 8","HGNC:21019","1p22.1"
"CHRNA7","Approved symbol","CHRNA7","cholinergic receptor nicotinic alpha 7 subunit","HGNC:1960","15q13.3"
"SCARNA1","Approved symbol","SCARNA1","small Cajal body-specific RNA 1","HGNC:32555","1p35.3"
"C8orf39","Previous symbol","RBM12B-AS1","RBM12B antisense RNA 1","HGNC:28818","8q22.1"
"NCR1","Approved symbol","NCR1","natural cytotoxicity triggering receptor 1","HGNC:6731","19q13.42"
"C20orf94","Previous symbol","SLX4IP","SLX4 interacting protein","HGNC:16225","20p12.2"
"GPR87","Approved symbol","GPR87","G protein-coupled receptor 87","HGNC:4538","3q25.1"
"AX748175","Unmatched","","","",""
"AK093382","Unmatched","","","",""
"SCARNA20","Approved symbol","SCARNA20","small Cajal body-specific RNA 20","HGNC:32578","17q23.2"
"BC042169","Unmatched","","","",""
"DM004493","Unmatched","","","",""
"SNORA75","Approved symbol","SNORA75","small nucleolar RNA, H/ACA box 75","HGNC:32661","2q37.1"
"BC069004","Unmatched","","","",""
"DCDC2B","Approved symbol","DCDC2B","doublecortin domain containing 2B","HGNC:32576","1p35.2"
"C15orf49","Entry withdrawn","C15orf49","","HGNC:30928",""
"DM004349","Unmatched","","","",""
"SNORA13","Approved symbol","SNORA13","small nucleolar RNA, H/ACA box 13","HGNC:32601","5q22.2"
"SNORA28","Approved symbol","SNORA28","small nucleolar RNA, H/ACA box 28","HGNC:32618","14q32.32"
"SNORA49","Approved symbol","SNORA49","small nucleolar RNA, H/ACA box 49","HGNC:32642","12q24.33"
"SNORD28","Approved symbol","SNORD28","small nucleolar RNA, C/D box 28","HGNC:10150","11q12.3"
"SNORD4A","Approved symbol","SNORD4A","small nucleolar RNA, C/D box 4A","HGNC:10097","17q11"
"DMC1","Approved symbol","DMC1","DNA meiotic recombinase 1","HGNC:2927","22q13.1"
"DMC1","Alias symbol","HID1","HID1 domain containing","HGNC:15736","17q25.1"
"SNORD9","Approved symbol","SNORD9","small nucleolar RNA, C/D box 9","HGNC:32705","14q11.2"
"SNORD12B","Approved symbol","SNORD12B","small nucleolar RNA, C/D box 12B","HGNC:33573","19p13.2"
"SNORD116-11","Approved symbol","SNORD116-11","small nucleolar RNA, C/D box 116-11","HGNC:33077","15q11.2"
"BC042098","Unmatched","","","",""
"BC032407","Unmatched","","","",""
"SNORD49A","Approved symbol","SNORD49A","small nucleolar RNA, C/D box 49A","HGNC:10189","17p11.2"
"VTRNA1-3","Approved symbol","VTRNA1-3","vault RNA 1-3","HGNC:12656","5q31.3"
"BC021024","Unmatched","","","",""
"HIST3H3","Previous symbol","H3-4","H3.4 histone","HGNC:4778","1q42.13"
"SNORD21","Approved symbol","SNORD21","small nucleolar RNA, C/D box 21","HGNC:10144","1p22.1"
"SCARNA21","Approved symbol","SCARNA21","small Cajal body-specific RNA 21","HGNC:32579","17p13.1"
